timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
13042120,31.375,-0.0451733,0.0166068,9.81764,-0.000162354,0.000146912,-7.96035e-05
13050627,31.3735,-0.0443322,0.0149246,9.81482,-0.000315325,0.000167965,-4.17491e-05
13055193,31.374,-0.0462762,0.0131394,9.81576,-0.000106802,0.000168649,-0.000193448
13063701,31.3652,-0.0458276,0.0138039,9.81857,-0.000200493,7.37076e-05,-0.00021166
13072209,31.3696,-0.0442292,0.015425,9.81696,-0.000216889,0.000301667,-2.58452e-06
13080717,31.3799,-0.0444435,0.0159171,9.81662,-8.30344e-05,0.000168479,-7.9898e-05
13235244,31.375,-0.0424891,0.0152095,9.81964,1.00853e-05,5.3092e-05,9.14772e-05
13243751,31.3813,-0.0456336,0.0132148,9.81769,-8.56623e-05,8.95682e-05,7.25454e-05
13252259,31.3906,-0.0435318,0.0148126,9.81953,-0.000218768,0.000416873,1.67429e-05
13260767,31.3735,-0.0436759,0.0147081,9.81376,-6.37094e-05,0.000166754,9.30505e-05
13345421,31.3618,-0.0456513,0.0178915,9.81525,-4.63788e-05,0.000397308,-4.57449e-06
13353929,31.3711,-0.0443537,0.0149186,9.81778,0.00010784,0.000148737,-8.06784e-05
13362437,31.3872,-0.043023,0.0129288,9.82133,-8.48123e-05,0.000131226,-2.21654e-05
13370659,31.395,-0.0451464,0.0160253,9.8166,7.05242e-05,9.17634e-05,0.000224744
13375942,31.3813,-0.044975,0.0166069,9.81342,6.96933e-05,0.000148728,-2.30842e-05
13383763,31.3857,-0.0431714,0.0137527,9.82006,0.000125153,0.000206666,-4.23726e-05
13392271,31.3857,-0.0432009,0.0139295,9.81574,-0.000179388,0.000245041,0.000225163
13400749,31.3721,-0.0444755,0.0144947,9.81774,-0.000141751,0.000342654,-4.18234e-05
13396830,31.3745,-0.0444902,0.0145931,9.81692,-0.000294165,0.000299913,1.51734e-05
13404156,31.3716,-0.0441921,0.0144105,9.81685,-0.000122547,5.27644e-05,1.71052e-05
13412139,31.3735,-0.042212,0.016716,9.81651,-0.00018034,0.000169229,5.50402e-05
13420646,31.3789,-0.042389,0.0157364,9.81918,3.10266e-05,0.000245116,3.27159e-05
13425151,31.3853,-0.0448101,0.0143265,9.81775,-0.000121894,0.000284064,7.2629e-05
13433628,31.3823,-0.0430848,0.017812,9.81158,-0.000159683,0.000186665,0.000129966
13442136,31.377,-0.0439598,0.0140017,9.81612,-6.42103e-05,5.30558e-05,0.000148549
13450644,31.3706,-0.0457709,0.0151249,9.8203,-0.000274822,5.40136e-05,0.000132033
13455742,31.3784,-0.0439784,0.0161203,9.81466,0.000125039,0.000285157,0.000187747
13463657,31.3813,-0.0434101,0.0145626,9.81644,-6.65349e-05,0.000263753,5.37843e-05
13472134,31.3823,-0.0429669,0.0166702,9.82155,-0.000104306,-2.19709e-05,3.68974e-05
13480642,31.3813,-0.0451828,0.0153184,9.81872,-0.000218004,0.00032018,1.74891e-05
13476773,31.3726,-0.0438324,0.0168031,9.81228,-0.000180266,0.000148983,1.66866e-05
13485280,31.375,-0.0452994,0.0135917,9.81656,-0.000313502,9.19538e-05,5.67304e-05
13493389,31.3823,-0.0446198,0.0145763,9.81694,-0.000315305,5.42143e-05,0.000151433
13500661,31.3813,-0.0440993,0.0158083,9.81592,4.96805e-05,0.000167935,9.15169e-05
